kabupaten,bulan,tahun,alokasi_urea,distribusi_urea,alokasi_NPK,distribusi_NPK,curah_hujan,suhu,luas_panen_padi,produksi_padi_ton,luas_panen_jagung,produksi_jagung_ton,luas_panen_kedelai,produksi_kedelai_ton,bulan_num,rasio_realisasi_urea,rasio_realisasi_NPK,produktivitas_padi,produktivitas_jagung,produktivitas_kedelai,luas_panen_total,produksi_total_ton,tipe_wilayah_encoded,kuartal,kabupaten_encoded
Bangkalan,Januari,2023,-0.14506333939264376,1820.5,-0.260758787210578,768.4,0.6187729606946911,-0.11367118719740256,7370,38471,1678,9580,12.79,21.88,1,0.08264856766695419,0.055098236053348626,-0.862490014327934,-0.1770836242589685,0.5279598899508137,0.41090499875616265,0.23345964078880022,0,1,0.3315996617931542
Bangkalan,Februari,2023,-0.14506333939264376,3231.9,-0.260758787210578,1350.6,1.1347049144487862,-0.29155060161749907,7370,38397,2806,16217,13.33,22.81,2,0.1467244745085577,0.09684497346909507,-0.8989334822460925,0.024468723727175526,0.5322231813601829,0.8626552062709774,0.6836083800408222,0,1,0.3315996617931542
Bangkalan,Maret,2023,-0.14506333939264376,4686.1,-0.260758787210578,2192.7,1.1908238287167754,-0.08995393194139026,9045,47034,2246,12845,20.57,35.81,3,0.21274345121895857,0.15722787896170945,-0.9348844708680606,-0.14873085133594957,0.8038278450417038,1.3118835480944182,1.0455691330915362,0,1,0.3315996617931542
Bangkalan,April,2023,-0.14506333939264376,5744.8,-0.260758787210578,2784.6,0.7835091283845952,0.147218620618737,9045,46943,1561,8867,34.76,60.5,4,0.2608071911744677,0.19967015631722357,-0.9714008986819529,-0.25987151428838123,0.80036771582909,1.0433608934228844,0.768213791452557,0,2,0.3315996617931542
Bangkalan,Mei,2023,-0.14506333939264376,6401.9,-0.260758787210578,3193.6,-0.4348143974978822,0.48518950801691973,5695,29500,1742,10034,74.3,129.34,5,0.29063876151995277,0.2289975620249534,-1.0075396517414668,-0.031084010217968465,0.8028754907522125,-0.2093498695180067,-0.34325946326767964,0,2,0.3315996617931542
Bangkalan,Juni,2023,-0.14506333939264376,6911.3,-0.260758787210578,3506.2,-0.8855759991988283,0.7638672572750717,5695,29443,2451,13774,128.54,223.78,6,0.3137649248649385,0.25141259142406425,-1.0438672421781696,-0.43376249220383767,0.8043022618947635,0.09617215751125924,-0.08420583935637052,0,2,0.3315996617931542
Bangkalan,Juli,2023,-0.14506333939264376,8093.4,-0.260758787210578,4161.5,-0.6285151661002968,0.2717342107128048,5695,29386,1938,10851,179.9,325.77,7,0.3674308802832887,0.2984009751900186,-1.0801948326148727,-0.49310518658026714,1.4434075660003427,-0.08862055324524011,-0.28157731849382517,0,3,0.3315996617931542
Bangkalan,Agustus,2023,-0.14506333939264376,8518.7,-0.260758787210578,4390.1,-0.9091097374402433,0.46740156657491155,5695,29329,1683,9491,219.41,397.32,8,0.38673900213374496,0.3147927721210383,-1.1165224230515758,-0.3775435369763319,1.4435632894854726,-0.17488036877447913,-0.37384713569581113,0,3,0.3315996617931542
Bangkalan,September,2023,-0.14506333939264376,9439.5,-0.260758787210578,4866.1,-0.9199714627824348,0.8409483368571128,9045,46491,1873,10772,313.09,566.96,9,0.42854224361011484,0.3489244227735552,-1.1527791994718322,-0.05646943955268365,1.4435333170967573,1.279667714627468,0.9025918924705092,0,3,0.3315996617931542
Bangkalan,Oktober,2023,-0.14506333939264376,10713.9,-0.260758787210578,5626.6,-0.8421290978300624,1.6176884464915315,9045,46400,1525,8527,205.79,372.66,10,0.4863985109184183,0.4034561881543095,-1.1892956272857245,-0.5149062458384922,1.4437349582619867,1.0974128814080029,0.7290660695367805,0,4,0.3315996617931542
